AC,BC,(Bc-Ac)/Ac,%Decrease
14832,284748,0.947911838,94.79118378
14680,284748,0.948445643,94.84456432
14725,284748,0.948287609,94.82876087
14828,284748,0.947925885,94.79258853
14690,284748,0.948410524,94.84105244
14796,284748,0.948038265,94.80382654
14796,284748,0.948038265,94.80382654
14799,284748,0.94802773,94.80277298
14922,284748,0.947595769,94.75957689
14921,284748,0.947599281,94.75992808
14860,284748,0.947813505,94.78135053
14752,284748,0.948192788,94.8192788
14807,284748,0.947999635,94.79996348
14681,284748,0.948442131,94.84421313
14466,284748,0.949197185,94.91971849
14323,284748,0.949699383,94.96993833
14194,284748,0.950152415,95.01524155
14255,284748,0.949938191,94.9938191
14218,284748,0.95006813,95.00681304
14099,284748,0.950486044,95.04860438
14149,284748,0.95031045,95.03104499
14241,284748,0.949987357,94.99873572
14245,284748,0.94997331,94.99733097
14520,284748,0.949007544,94.90075435
14726,284748,0.948284097,94.82840968
14835,284748,0.947901302,94.79013022
14794,284748,0.948045289,94.80452892
14830,284748,0.947918862,94.79188616
14880,284748,0.947743268,94.77432677
14876,284748,0.947757315,94.77573152
14849,284748,0.947852136,94.78521359
14937,284748,0.947543091,94.75430907
14799,284748,0.94802773,94.80277298
15224,284748,0.946535182,94.6535182
15197,284748,0.946630003,94.66300027
15065,284748,0.94709357,94.70935705
15319,284748,0.946201554,94.62015537
15201,284748,0.946615955,94.66159552
15298,284748,0.946275303,94.62753031
15267,284748,0.946384171,94.63841713
15168,284748,0.946731847,94.67318471
15119,284748,0.946903929,94.69039291
15088,284748,0.947012797,94.70127973
14942,284748,0.947525531,94.75255313
14902,284748,0.947666006,94.76660064
14880,284748,0.947743268,94.77432677
14683,284748,0.948435108,94.84351075
14664,284748,0.948501833,94.85018332
3840,284748,0.986514392,98.65143917
4139,284748,0.98546434,98.54643404
4340,284748,0.984758453,98.47584531
4585,284748,0.983898043,98.38980432
4872,284748,0.982890134,98.28901344
5115,284748,0.982036748,98.20367483
5421,284748,0.980962114,98.09621139
5885,284748,0.979332603,97.93326029
6137,284748,0.97844761,97.84476098
6477,284748,0.977253572,97.72535716
6602,284748,0.976814587,97.68145869
6885,284748,0.975820726,97.58207257
7080,284748,0.97513591,97.51359096
7283,284748,0.974422999,97.44229986
7477,284748,0.973741694,97.37416944
7726,284748,0.972867237,97.2867237
7885,284748,0.972308849,97.23088485
8089,284748,0.971592426,97.15924256
8135,284748,0.971430879,97.14308792
8277,284748,0.970932193,97.09321927
8298,284748,0.970858443,97.08584433
8379,284748,0.970573981,97.05739812
8655,284748,0.969604703,96.96047031
8886,284748,0.968793459,96.87934595
9333,284748,0.96722365,96.72236504
9602,284748,0.966278955,96.62789554
9758,284748,0.965731103,96.57311026
9964,284748,0.965007656,96.50076559
10368,284748,0.963588858,96.35888575
10614,284748,0.962724936,96.27249357
10752,284748,0.962240297,96.22402967
11085,284748,0.961070842,96.10708416
11361,284748,0.960101563,96.01015635
11495,284748,0.959630972,95.96309719
11783,284748,0.958619551,95.86195513
